Date/Time,Year,Month,Day,Time,Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Weather,filename
2016-06-11 16:00,2016,6,11,16:00,16.3,10.2,67.0,10.0,13.0,32.2,102.27,,,Mostly Cloudy,katkam-20160611160000.jpg
2016-06-11 19:00,2016,6,11,19:00,15.5,9.2,66.0,9.0,21.0,32.2,102.28,,,Mainly Clear,katkam-20160611190000.jpg
2016-06-12 07:00,2016,6,12,07:00,12.8,7.7,71.0,9.0,17.0,32.2,102.42,,,Mostly Cloudy,katkam-20160612070000.jpg
2016-06-12 10:00,2016,6,12,10:00,15.1,8.4,64.0,14.0,15.0,32.2,102.46,,,Mostly Cloudy,katkam-20160612100000.jpg
2016-06-12 13:00,2016,6,12,13:00,17.3,10.5,64.0,22.0,22.0,48.3,102.38,,,Mainly Clear,katkam-20160612130000.jpg
2016-06-12 16:00,2016,6,12,16:00,18.1,11.3,64.0,20.0,12.0,48.3,102.27,,,Mostly Cloudy,katkam-20160612160000.jpg
2016-06-12 19:00,2016,6,12,19:00,16.9,8.7,58.0,13.0,5.0,48.3,102.12,,,Mostly Cloudy,katkam-20160612190000.jpg
2016-06-13 06:00,2016,6,13,06:00,12.5,10.8,89.0,9.0,18.0,24.1,101.47,,,Rain Showers,katkam-20160613060000.jpg
2016-06-13 07:00,2016,6,13,07:00,12.9,10.8,87.0,11.0,21.0,24.1,101.46,,,Cloudy,katkam-20160613070000.jpg
2016-06-13 08:00,2016,6,13,08:00,12.8,10.7,87.0,12.0,21.0,16.1,101.44,,,Rain Showers,katkam-20160613080000.jpg
2016-06-13 09:00,2016,6,13,09:00,13.8,11.5,86.0,11.0,18.0,16.1,101.38,,,Rain Showers,katkam-20160613090000.jpg
2016-06-13 10:00,2016,6,13,10:00,15.1,11.3,78.0,13.0,17.0,19.3,101.31,,,Mostly Cloudy,katkam-20160613100000.jpg
2016-06-13 13:00,2016,6,13,13:00,16.3,7.9,57.0,22.0,28.0,32.2,101.24,,,Mostly Cloudy,katkam-20160613130000.jpg
2016-06-13 16:00,2016,6,13,16:00,17.7,6.7,48.0,22.0,19.0,32.2,101.17,,,Mostly Cloudy,katkam-20160613160000.jpg
2016-06-13 19:00,2016,6,13,19:00,14.8,6.2,56.0,28.0,24.0,32.2,101.1,,,Mainly Clear,katkam-20160613190000.jpg
2016-06-14 07:00,2016,6,14,07:00,11.5,6.1,69.0,18.0,18.0,24.1,101.08,,,Cloudy,katkam-20160614070000.jpg
2016-06-14 10:00,2016,6,14,10:00,12.4,6.3,66.0,10.0,14.0,24.1,101.13,,,Cloudy,katkam-20160614100000.jpg
2016-06-14 13:00,2016,6,14,13:00,11.1,7.6,79.0,7.0,16.0,24.1,101.21,,,Moderate Rain Showers,katkam-20160614130000.jpg
2016-06-14 14:00,2016,6,14,14:00,12.1,9.7,85.0,7.0,15.0,24.1,101.23,,,Rain Showers,katkam-20160614140000.jpg
2016-06-14 16:00,2016,6,14,16:00,12.7,7.4,70.0,10.0,22.0,32.2,101.22,,,Cloudy,katkam-20160614160000.jpg
2016-06-14 19:00,2016,6,14,19:00,12.6,6.7,67.0,17.0,17.0,32.2,101.24,,,Mostly Cloudy,katkam-20160614190000.jpg
2016-06-15 07:00,2016,6,15,07:00,10.0,7.4,84.0,9.0,18.0,24.1,101.39,,,Rain Showers,katkam-20160615070000.jpg
2016-06-15 10:00,2016,6,15,10:00,12.3,8.0,75.0,12.0,12.0,24.1,101.39,,,Cloudy,katkam-20160615100000.jpg
2016-06-15 13:00,2016,6,15,13:00,14.1,8.6,69.0,28.0,10.0,32.2,101.36,,,Mostly Cloudy,katkam-20160615130000.jpg
2016-06-15 16:00,2016,6,15,16:00,14.8,6.7,58.0,25.0,14.0,48.3,101.3,,,Mainly Clear,katkam-20160615160000.jpg
2016-06-15 19:00,2016,6,15,19:00,13.7,7.1,64.0,28.0,13.0,48.3,101.28,,,Clear,katkam-20160615190000.jpg
2016-06-16 07:00,2016,6,16,07:00,12.4,8.5,77.0,10.0,14.0,48.3,101.6,,,Mostly Cloudy,katkam-20160616070000.jpg
2016-06-16 10:00,2016,6,16,10:00,14.9,9.3,69.0,13.0,11.0,48.3,101.72,,,Mostly Cloudy,katkam-20160616100000.jpg
2016-06-16 13:00,2016,6,16,13:00,16.0,9.3,64.0,22.0,18.0,48.3,101.81,,,Mostly Cloudy,katkam-20160616130000.jpg
2016-06-16 16:00,2016,6,16,16:00,16.4,8.7,60.0,24.0,10.0,48.3,101.84,,,Mostly Cloudy,katkam-20160616160000.jpg
2016-06-16 19:00,2016,6,16,19:00,15.7,8.3,61.0,19.0,7.0,48.3,101.93,,,Mostly Cloudy,katkam-20160616190000.jpg
2016-06-17 07:00,2016,6,17,07:00,14.5,7.6,63.0,27.0,4.0,48.3,102.18,,,Mainly Clear,katkam-20160617070000.jpg
2016-06-17 10:00,2016,6,17,10:00,16.3,8.8,61.0,27.0,15.0,48.3,102.13,,,Mainly Clear,katkam-20160617100000.jpg
2016-06-17 13:00,2016,6,17,13:00,18.8,10.7,59.0,29.0,21.0,48.3,101.94,,,Mainly Clear,katkam-20160617130000.jpg
2016-06-17 16:00,2016,6,17,16:00,19.7,10.5,55.0,30.0,26.0,48.3,101.73,,,Mainly Clear,katkam-20160617160000.jpg
2016-06-17 19:00,2016,6,17,19:00,17.9,12.0,68.0,26.0,16.0,48.3,101.73,,,Mostly Cloudy,katkam-20160617190000.jpg
2016-06-17 20:00,2016,6,17,20:00,17.1,12.5,74.0,26.0,26.0,32.2,101.64,,,Rain Showers,katkam-20160617200000.jpg
2016-06-18 06:00,2016,6,18,06:00,12.6,10.2,85.0,25.0,9.0,32.2,101.71,,,Rain,katkam-20160618060000.jpg
2016-06-18 07:00,2016,6,18,07:00,12.7,11.1,90.0,23.0,9.0,24.1,101.73,,,Rain,katkam-20160618070000.jpg
2016-06-18 08:00,2016,6,18,08:00,12.8,11.7,93.0,26.0,9.0,19.3,101.73,,,Rain,katkam-20160618080000.jpg
2016-06-18 09:00,2016,6,18,09:00,12.8,11.6,92.0,24.0,12.0,24.1,101.76,,,Rain,katkam-20160618090000.jpg
2016-06-18 10:00,2016,6,18,10:00,12.8,11.7,93.0,23.0,11.0,16.1,101.81,,,Rain,katkam-20160618100000.jpg
2016-06-18 11:00,2016,6,18,11:00,12.8,11.6,92.0,23.0,9.0,16.1,101.88,,,Rain,katkam-20160618110000.jpg
2016-06-18 12:00,2016,6,18,12:00,13.1,11.8,92.0,28.0,5.0,19.3,101.93,,,Rain,katkam-20160618120000.jpg
2016-06-18 13:00,2016,6,18,13:00,13.1,11.8,92.0,19.0,10.0,24.1,102.02,,,Rain,katkam-20160618130000.jpg
2016-06-18 14:00,2016,6,18,14:00,13.2,11.5,89.0,16.0,12.0,24.1,102.08,,,Rain,katkam-20160618140000.jpg
2016-06-18 15:00,2016,6,18,15:00,13.1,11.5,90.0,13.0,14.0,24.1,102.16,,,Rain,katkam-20160618150000.jpg
2016-06-18 16:00,2016,6,18,16:00,12.9,11.3,90.0,12.0,13.0,24.1,102.2,,,Rain,katkam-20160618160000.jpg
2016-06-18 17:00,2016,6,18,17:00,12.9,11.3,90.0,17.0,8.0,19.3,102.28,,,Rain,katkam-20160618170000.jpg
2016-06-18 19:00,2016,6,18,19:00,13.1,11.7,91.0,10.0,12.0,19.3,102.35,,,Cloudy,katkam-20160618190000.jpg
2016-06-18 21:00,2016,6,18,21:00,12.7,11.6,93.0,6.0,12.0,16.1,102.52,,,Rain Showers,katkam-20160618210000.jpg
2016-06-19 06:00,2016,6,19,06:00,11.9,10.5,91.0,9.0,16.0,24.1,102.86,,,Rain Showers,katkam-20160619060000.jpg
2016-06-19 07:00,2016,6,19,07:00,12.3,10.7,90.0,13.0,13.0,24.1,102.9,,,Cloudy,katkam-20160619070000.jpg
2016-06-19 10:00,2016,6,19,10:00,13.6,10.4,81.0,11.0,8.0,24.1,102.94,,,Cloudy,katkam-20160619100000.jpg
2016-06-19 13:00,2016,6,19,13:00,15.6,9.8,68.0,22.0,5.0,24.1,102.89,,,Cloudy,katkam-20160619130000.jpg
2016-06-19 16:00,2016,6,19,16:00,17.2,11.8,70.0,31.0,21.0,48.3,102.69,,,Mainly Clear,katkam-20160619160000.jpg
2016-06-19 19:00,2016,6,19,19:00,15.5,11.3,76.0,29.0,17.0,48.3,102.52,,,Mainly Clear,katkam-20160619190000.jpg
2016-06-20 07:00,2016,6,20,07:00,13.9,10.4,79.0,2.0,4.0,48.3,102.16,,,Mostly Cloudy,katkam-20160620070000.jpg
2016-06-20 10:00,2016,6,20,10:00,17.3,13.7,79.0,30.0,21.0,48.3,102.13,,,Mostly Cloudy,katkam-20160620100000.jpg
2016-06-20 13:00,2016,6,20,13:00,19.9,15.0,73.0,30.0,15.0,48.3,102.01,,,Mostly Cloudy,katkam-20160620130000.jpg
2016-06-20 16:00,2016,6,20,16:00,19.1,12.7,66.0,22.0,8.0,48.3,101.92,,,Mostly Cloudy,katkam-20160620160000.jpg
2016-06-20 19:00,2016,6,20,19:00,18.2,13.4,73.0,21.0,9.0,32.2,101.9,,,Mainly Clear,katkam-20160620190000.jpg
2016-06-21 07:00,2016,6,21,07:00,15.0,11.4,79.0,9.0,23.0,32.2,102.29,,,Mostly Cloudy,katkam-20160621070000.jpg
2016-06-21 10:00,2016,6,21,10:00,17.4,12.8,74.0,10.0,21.0,24.1,102.43,,,Cloudy,katkam-20160621100000.jpg
2016-06-21 13:00,2016,6,21,13:00,19.6,11.2,58.0,14.0,21.0,32.2,102.47,,,Mostly Cloudy,katkam-20160621130000.jpg
2016-06-21 16:00,2016,6,21,16:00,19.9,11.5,58.0,11.0,15.0,48.3,102.31,,,Mostly Cloudy,katkam-20160621160000.jpg
2016-06-21 19:00,2016,6,21,19:00,16.8,10.5,66.0,14.0,11.0,48.3,102.16,,,Mostly Cloudy,katkam-20160621190000.jpg
2016-06-22 07:00,2016,6,22,07:00,14.6,11.4,81.0,13.0,9.0,24.1,101.86,,,Cloudy,katkam-20160622070000.jpg
2016-06-22 10:00,2016,6,22,10:00,17.5,12.0,70.0,11.0,11.0,24.1,101.8,,,Cloudy,katkam-20160622100000.jpg
2016-06-22 13:00,2016,6,22,13:00,20.4,13.0,62.0,21.0,13.0,32.2,101.71,,,Cloudy,katkam-20160622130000.jpg
2016-06-22 16:00,2016,6,22,16:00,17.8,13.2,74.0,29.0,15.0,48.3,101.57,,,Cloudy,katkam-20160622160000.jpg
2016-06-22 17:00,2016,6,22,17:00,16.5,13.6,83.0,29.0,17.0,48.3,101.5,,,Rain,katkam-20160622170000.jpg
2016-06-22 19:00,2016,6,22,19:00,15.9,13.8,87.0,28.0,17.0,32.2,101.42,,,Rain,katkam-20160622190000.jpg
2016-06-22 20:00,2016,6,22,20:00,15.2,13.8,91.0,29.0,16.0,24.1,101.36,,,Rain,katkam-20160622200000.jpg
2016-06-22 21:00,2016,6,22,21:00,15.3,14.0,92.0,28.0,18.0,24.1,101.32,,,Rain,katkam-20160622210000.jpg
2016-06-23 06:00,2016,6,23,06:00,14.0,12.9,93.0,8.0,17.0,19.3,101.32,,,Rain,katkam-20160623060000.jpg
2016-06-23 07:00,2016,6,23,07:00,13.7,12.6,93.0,12.0,17.0,19.3,101.35,,,Rain,katkam-20160623070000.jpg
2016-06-23 08:00,2016,6,23,08:00,13.6,12.5,93.0,13.0,15.0,4.8,101.38,,,"Rain,Fog",katkam-20160623080000.jpg
2016-06-23 09:00,2016,6,23,09:00,13.5,12.7,95.0,13.0,18.0,4.8,101.41,,,"Rain,Fog",katkam-20160623090000.jpg
2016-06-23 10:00,2016,6,23,10:00,14.7,13.8,94.0,12.0,17.0,24.1,101.43,,,Cloudy,katkam-20160623100000.jpg
2016-06-23 13:00,2016,6,23,13:00,16.7,13.1,79.0,12.0,14.0,24.1,101.5,,,Cloudy,katkam-20160623130000.jpg
2016-06-23 16:00,2016,6,23,16:00,19.5,14.0,70.0,12.0,15.0,32.2,101.47,,,Mainly Clear,katkam-20160623160000.jpg
2016-06-23 19:00,2016,6,23,19:00,16.8,12.0,73.0,13.0,15.0,32.2,101.5,,,Mostly Cloudy,katkam-20160623190000.jpg
2016-06-24 07:00,2016,6,24,07:00,13.3,10.9,85.0,10.0,17.0,24.1,101.92,,,Cloudy,katkam-20160624070000.jpg
2016-06-24 10:00,2016,6,24,10:00,15.0,10.9,76.0,16.0,7.0,24.1,102.04,,,Cloudy,katkam-20160624100000.jpg
2016-06-24 13:00,2016,6,24,13:00,17.5,11.2,66.0,17.0,11.0,24.1,102.16,,,Mostly Cloudy,katkam-20160624130000.jpg
2016-06-24 16:00,2016,6,24,16:00,17.9,11.3,65.0,19.0,11.0,24.1,102.22,,,Cloudy,katkam-20160624160000.jpg
2016-06-24 19:00,2016,6,24,19:00,16.9,11.2,69.0,11.0,12.0,32.2,102.24,,,Cloudy,katkam-20160624190000.jpg
2016-06-25 07:00,2016,6,25,07:00,14.0,11.0,82.0,8.0,14.0,24.1,102.47,,,Cloudy,katkam-20160625070000.jpg
2016-06-25 10:00,2016,6,25,10:00,15.3,11.3,77.0,12.0,10.0,24.1,102.51,,,Cloudy,katkam-20160625100000.jpg
2016-06-25 13:00,2016,6,25,13:00,17.8,12.8,72.0,25.0,16.0,48.3,102.47,,,Mainly Clear,katkam-20160625130000.jpg
2016-06-25 16:00,2016,6,25,16:00,18.7,13.2,70.0,25.0,13.0,48.3,102.38,,,Mostly Cloudy,katkam-20160625160000.jpg
2016-06-25 19:00,2016,6,25,19:00,17.4,12.6,73.0,23.0,8.0,48.3,102.27,,,Clear,katkam-20160625190000.jpg
2016-06-26 07:00,2016,6,26,07:00,17.2,13.4,78.0,30.0,13.0,48.3,102.37,,,Clear,katkam-20160626070000.jpg
2016-06-26 10:00,2016,6,26,10:00,19.3,15.6,79.0,29.0,21.0,24.1,102.31,,,Mainly Clear,katkam-20160626100000.jpg
2016-06-26 13:00,2016,6,26,13:00,20.6,15.9,74.0,30.0,19.0,48.3,102.22,25.0,,Clear,katkam-20160626130000.jpg
2016-06-26 16:00,2016,6,26,16:00,22.1,15.6,66.0,29.0,19.0,48.3,102.06,26.0,,Mainly Clear,katkam-20160626160000.jpg
2016-06-26 19:00,2016,6,26,19:00,19.6,15.5,77.0,30.0,16.0,48.3,101.92,,,Mainly Clear,katkam-20160626190000.jpg
2016-06-27 07:00,2016,6,27,07:00,19.4,15.7,79.0,30.0,16.0,48.3,102.02,,,Mostly Cloudy,katkam-20160627070000.jpg
2016-06-27 10:00,2016,6,27,10:00,21.2,16.3,73.0,29.0,19.0,48.3,102.03,26.0,,Mostly Cloudy,katkam-20160627100000.jpg
2016-06-27 13:00,2016,6,27,13:00,22.0,16.4,70.0,28.0,12.0,48.3,101.98,27.0,,Mostly Cloudy,katkam-20160627130000.jpg
2016-06-27 16:00,2016,6,27,16:00,23.7,14.6,56.0,27.0,9.0,48.3,101.88,27.0,,Clear,katkam-20160627160000.jpg
2016-06-27 19:00,2016,6,27,19:00,21.6,14.8,65.0,21.0,8.0,48.3,101.83,25.0,,Mainly Clear,katkam-20160627190000.jpg
2016-06-28 07:00,2016,6,28,07:00,16.5,13.3,81.0,11.0,14.0,48.3,102.18,,,Clear,katkam-20160628070000.jpg
2016-06-28 10:00,2016,6,28,10:00,19.2,13.5,69.0,16.0,9.0,48.3,102.15,,,Clear,katkam-20160628100000.jpg
2016-06-28 13:00,2016,6,28,13:00,18.8,14.7,77.0,22.0,18.0,48.3,102.04,,,Clear,katkam-20160628130000.jpg
2016-06-28 16:00,2016,6,28,16:00,20.6,16.1,75.0,23.0,13.0,48.3,101.89,25.0,,Clear,katkam-20160628160000.jpg
2016-06-28 19:00,2016,6,28,19:00,22.0,14.7,63.0,14.0,12.0,48.3,101.82,26.0,,Mainly Clear,katkam-20160628190000.jpg
2016-06-29 07:00,2016,6,29,07:00,16.1,13.1,82.0,11.0,8.0,48.3,102.12,,,Mainly Clear,katkam-20160629070000.jpg
2016-06-29 10:00,2016,6,29,10:00,19.2,13.7,70.0,16.0,13.0,48.3,102.13,,,Clear,katkam-20160629100000.jpg
2016-06-29 13:00,2016,6,29,13:00,21.3,16.6,74.0,22.0,13.0,48.3,101.99,26.0,,Clear,katkam-20160629130000.jpg
2016-06-29 16:00,2016,6,29,16:00,22.7,13.9,57.0,17.0,18.0,48.3,101.88,26.0,,Clear,katkam-20160629160000.jpg
2016-06-29 19:00,2016,6,29,19:00,19.4,13.7,69.0,14.0,17.0,48.3,101.83,,,Clear,katkam-20160629190000.jpg
2016-06-30 07:00,2016,6,30,07:00,15.0,11.4,79.0,12.0,14.0,32.2,102.21,,,Mostly Cloudy,katkam-20160630070000.jpg
2016-06-30 10:00,2016,6,30,10:00,18.4,12.2,67.0,13.0,11.0,32.2,102.24,,,Mostly Cloudy,katkam-20160630100000.jpg
2016-06-30 13:00,2016,6,30,13:00,19.1,14.6,75.0,23.0,23.0,48.3,102.15,,,Cloudy,katkam-20160630130000.jpg
2016-06-30 16:00,2016,6,30,16:00,21.2,14.0,63.0,17.0,13.0,48.3,102.0,25.0,,Mostly Cloudy,katkam-20160630160000.jpg
2016-06-30 19:00,2016,6,30,19:00,19.6,12.7,64.0,14.0,16.0,48.3,101.89,,,Mostly Cloudy,katkam-20160630190000.jpg
2016-07-01 07:00,2016,7,1,07:00,14.5,11.5,82.0,12.0,16.0,24.1,101.86,,,Rain,katkam-20160701070000.jpg
2016-07-01 10:00,2016,7,1,10:00,15.9,11.7,76.0,15.0,15.0,19.3,101.94,,,Rain,katkam-20160701100000.jpg
2016-07-01 13:00,2016,7,1,13:00,16.9,12.7,76.0,13.0,15.0,32.2,101.95,,,Cloudy,katkam-20160701130000.jpg
2016-07-01 16:00,2016,7,1,16:00,19.9,13.9,68.0,17.0,12.0,48.3,101.87,,,Mainly Clear,katkam-20160701160000.jpg
2016-07-01 19:00,2016,7,1,19:00,18.8,12.6,67.0,16.0,13.0,48.3,101.77,,,Cloudy,katkam-20160701190000.jpg
2016-07-02 07:00,2016,7,2,07:00,17.7,14.6,82.0,9.0,5.0,48.3,101.64,,,Mostly Cloudy,katkam-20160702070000.jpg
2016-07-02 10:00,2016,7,2,10:00,20.8,14.1,65.0,14.0,16.0,48.3,101.6,,,Mostly Cloudy,katkam-20160702100000.jpg
2016-07-02 13:00,2016,7,2,13:00,22.6,14.1,58.0,14.0,21.0,48.3,101.52,26.0,,Mostly Cloudy,katkam-20160702130000.jpg
2016-07-02 16:00,2016,7,2,16:00,21.4,13.7,61.0,16.0,21.0,48.3,101.45,25.0,,Mostly Cloudy,katkam-20160702160000.jpg
2016-07-02 19:00,2016,7,2,19:00,19.6,11.5,59.0,12.0,23.0,48.3,101.4,,,Mainly Clear,katkam-20160702190000.jpg
2016-07-03 07:00,2016,7,3,07:00,17.0,12.8,76.0,28.0,37.0,48.3,101.72,,,Mainly Clear,katkam-20160703070000.jpg
2016-07-03 10:00,2016,7,3,10:00,18.8,11.2,61.0,26.0,40.0,48.3,101.84,,,Mainly Clear,katkam-20160703100000.jpg
2016-07-03 13:00,2016,7,3,13:00,19.8,11.7,59.0,25.0,22.0,48.3,101.9,,,Mainly Clear,katkam-20160703130000.jpg
2016-07-03 16:00,2016,7,3,16:00,19.7,10.5,55.0,20.0,18.0,48.3,101.85,,,Mainly Clear,katkam-20160703160000.jpg
2016-07-03 19:00,2016,7,3,19:00,18.5,9.7,56.0,18.0,10.0,48.3,101.82,,,Mostly Cloudy,katkam-20160703190000.jpg
2016-07-04 07:00,2016,7,4,07:00,16.1,12.5,79.0,30.0,3.0,32.2,101.78,,,Cloudy,katkam-20160704070000.jpg
2016-07-04 10:00,2016,7,4,10:00,17.5,12.3,71.0,22.0,16.0,32.2,101.86,,,Mostly Cloudy,katkam-20160704100000.jpg
2016-07-04 13:00,2016,7,4,13:00,19.2,10.3,56.0,22.0,16.0,32.2,101.85,,,Mostly Cloudy,katkam-20160704130000.jpg
2016-07-04 16:00,2016,7,4,16:00,19.9,11.5,58.0,22.0,14.0,32.2,101.79,,,Mostly Cloudy,katkam-20160704160000.jpg
2016-07-04 19:00,2016,7,4,19:00,18.5,11.9,65.0,29.0,8.0,24.1,101.71,,,Mostly Cloudy,katkam-20160704190000.jpg
2016-07-05 07:00,2016,7,5,07:00,15.1,11.9,81.0,11.0,7.0,24.1,101.77,,,Cloudy,katkam-20160705070000.jpg
2016-07-05 11:00,2016,7,5,11:00,14.6,11.4,81.0,35.0,11.0,24.1,101.86,,,Rain,katkam-20160705110000.jpg
2016-07-05 13:00,2016,7,5,13:00,16.2,11.8,75.0,11.0,15.0,24.1,101.86,,,Mostly Cloudy,katkam-20160705130000.jpg
2016-07-05 16:00,2016,7,5,16:00,17.7,12.0,69.0,12.0,16.0,24.1,101.78,,,Mostly Cloudy,katkam-20160705160000.jpg
2016-07-05 19:00,2016,7,5,19:00,16.1,11.5,74.0,12.0,13.0,32.2,101.76,,,Mostly Cloudy,katkam-20160705190000.jpg
2016-07-06 07:00,2016,7,6,07:00,14.2,11.7,85.0,14.0,9.0,24.1,101.8,,,Mostly Cloudy,katkam-20160706070000.jpg
2016-07-06 10:00,2016,7,6,10:00,18.8,12.4,66.0,12.0,8.0,24.1,101.75,,,Mainly Clear,katkam-20160706100000.jpg
2016-07-06 13:00,2016,7,6,13:00,20.4,13.7,65.0,23.0,13.0,32.2,101.71,,,Mainly Clear,katkam-20160706130000.jpg
2016-07-06 16:00,2016,7,6,16:00,19.8,12.4,62.0,26.0,13.0,48.3,101.59,,,Mainly Clear,katkam-20160706160000.jpg
2016-07-06 19:00,2016,7,6,19:00,18.2,11.4,64.0,26.0,6.0,48.3,101.48,,,Mainly Clear,katkam-20160706190000.jpg
2016-07-07 06:00,2016,7,7,06:00,15.2,12.4,83.0,9.0,10.0,32.2,101.22,,,Rain,katkam-20160707060000.jpg
2016-07-07 07:00,2016,7,7,07:00,15.8,12.8,82.0,8.0,9.0,32.2,101.22,,,Rain,katkam-20160707070000.jpg
2016-07-07 08:00,2016,7,7,08:00,16.1,13.1,82.0,10.0,12.0,24.1,101.24,,,Rain,katkam-20160707080000.jpg
